Iteration	Posterior	Likelihood	Prior	alpha_song	branch_rates	diversification	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	er[7]	er[8]	er[9]	er[10]	er[11]	er[12]	er[13]	er[14]	er[15]	extinction_rate	origin_time	rates_song[1]	rates_song[2]	rates_song[3]	rates_song[4]	sf[1]	sf[2]	sf[3]	sf[4]	sf[5]	sf[6]	speciation_rate	turnover
4400	-255.4389	-248.2063	-7.232519	2.094848	0.104755	0.07597234	0.0112033	0.183306	0.0694694	0.0375886	0.0615001	0.0738698	0.0270316	0.0409771	0.0225941	0.00368717	0.00650351	0.00451488	0.284258	0.172415	0.00108212	0.00189729	20.60441	0.30434	0.664735	1.07219	1.95873	0.243369	0.16539	0.116916	0.0865151	0.240653	0.147156	0.07786963	0.02436495
4500	-260.7525	-250.7157	-10.03687	2.50696	0.05549338	0.04402151	0.0235542	0.177538	0.0674844	0.0422301	0.122109	0.0194712	0.00506515	0.056049	0.0668249	0.0998974	0.059579	0.0221284	0.1004	0.0425001	0.0951685	0.001744485	37.54861	0.347116	0.699971	1.07871	1.87421	0.284647	0.233716	0.118268	0.0806275	0.130219	0.152522	0.045766	0.03811749
4600	-256.9264	-246.9625	-9.963934	2.050765	0.09498464	0.05192334	0.0286036	0.205256	0.233061	0.0741343	0.00364703	0.0394699	0.00743026	0.00200176	0.026007	0.151272	0.0677978	0.0249518	0.114051	0.0102205	0.0120955	0.02548056	29.25264	0.29926	0.660306	1.07121	1.96922	0.310209	0.212378	0.10766	0.100238	0.131954	0.137561	0.07740391	0.3291896
4700	-257.3942	-251.869	-5.525129	5.068141	0.2177529	0.161301	0.0344514	0.0755717	0.167049	0.0148898	0.0141203	0.126842	0.0329402	0.0511105	0.0404331	0.297004	0.0280088	0.0151968	0.0147417	0.0699278	0.0177125	0.06954546	5.929444	0.504883	0.805575	1.08318	1.60636	0.338539	0.204878	0.0954631	0.0610716	0.146191	0.153858	0.2308464	0.3012628
4800	-267.3832	-257.6372	-9.74605	2.732168	0.03814078	0.02746488	0.0509428	0.245959	0.103476	0.0700413	0.00147393	0.0144169	0.0624604	0.0110383	0.0495004	0.012672	0.00324168	0.0173531	0.257145	0.0869974	0.013282	0.01266406	31.6739	0.367419	0.715531	1.08083	1.83622	0.293384	0.176705	0.128533	0.0921848	0.129343	0.179851	0.04012894	0.3155842
4900	-273.9308	-258.7732	-15.15767	1.013827	0.05739719	0.02309636	0.142841	0.0940152	0.0235753	0.0100061	0.00525624	0.112398	0.049241	0.0864031	0.0396497	0.0451834	0.168574	0.00980161	0.113765	0.078165	0.0211254	0.06091029	53.70386	0.139704	0.480869	1.00225	2.37717	0.166848	0.304822	0.178225	0.115413	0.121715	0.112977	0.08400665	0.7250651
5000	-264.1806	-250.6996	-13.48101	3.866014	0.06298066	0.01373891	0.0226289	0.0554737	0.17147	0.00814673	0.00435489	0.133918	0.0282288	0.0334317	0.0533761	0.0259015	0.00743203	0.0790565	0.0636226	0.217922	0.0950363	0.1121043	28.42661	0.446847	0.770444	1.0844	1.69831	0.275207	0.239418	0.136377	0.0933564	0.165774	0.0898679	0.1258432	0.8908252
5100	-266.3489	-254.8436	-11.50527	1.159211	0.03759266	0.02150494	0.053025	0.131525	0.029874	0.014892	0.0315404	0.0860472	0.0726845	0.0263974	0.030575	0.00958433	0.10876	0.0392897	0.169742	0.108208	0.0878564	0.003066908	44.95784	0.167583	0.519882	1.02208	2.29046	0.167275	0.249849	0.143822	0.112991	0.167132	0.15893	0.02457185	0.1248139
5200	-255.8356	-249.6632	-6.172311	1.238352	0.09619057	0.04673098	0.0175537	0.084714	0.0661359	0.00375909	0.0197845	0.06254	0.0110828	0.0264674	0.0767112	0.28729	0.196342	0.0827492	0.0322151	0.00625172	0.0264033	0.02018971	17.54678	0.181934	0.538296	1.03049	2.24928	0.20984	0.266794	0.109143	0.116814	0.173461	0.123947	0.06692069	0.301696
5300	-258.0903	-251.4822	-6.608168	1.813202	0.0954904	0.09720212	0.0482095	0.134016	0.0561166	0.0278157	0.00235097	0.211474	0.0376564	0.0577721	0.0334224	0.0722897	0.0680915	0.0251494	0.0933582	0.124437	0.0078404	0.06808779	15.07555	0.269909	0.633557	1.06453	2.03201	0.180204	0.247456	0.122149	0.0946253	0.169526	0.186041	0.1652899	0.4119295
