Iteration	Replicate_ID	Posterior	Likelihood	Prior	alpha_song	branch_rates	diversification	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	er[7]	er[8]	er[9]	er[10]	er[11]	er[12]	er[13]	er[14]	er[15]	extinction_rate	origin_time	rates_song[1]	rates_song[2]	rates_song[3]	rates_song[4]	sf[1]	sf[2]	sf[3]	sf[4]	sf[5]	sf[6]	speciation_rate	turnover
30	0	-252.6998	-236.4688	-16.23104	1.128949	0.05998286	0.005256459	0.044571	0.120222	0.0686629	0.185122	0.00154168	0.0512264	0.0235451	0.00586893	0.219696	0.0448028	0.00534235	0.0167361	0.144494	0.0507056	0.0174638	0.004216619	300.6113	0.161941	0.512353	1.01846	2.30724	0.148032	0.16075	0.185867	0.0547692	0.29721	0.153371	0.009473078	0.445116
31	0	-244.8596	-233.8759	-10.98372	5.188884	0.1344745	0.00990417	0.0123147	0.188397	0.10627	0.113417	0.119169	0.00277938	0.0170442	0.0185366	0.0833162	0.108449	0.0162281	0.0126424	0.132881	0.052125	0.0164313	0.00830364	73.05561	0.509738	0.808349	1.08296	1.59895	0.123807	0.192532	0.240019	0.0701319	0.272621	0.100888	0.01820781	0.4560482
32	0	-245.8313	-234.8964	-10.93489	3.319835	0.1394599	0.01403679	0.0313672	0.27379	0.0836222	0.0956725	0.0447674	0.0210808	0.0115089	0.011895	0.152248	0.0650559	0.00414979	0.0151822	0.155837	0.0200333	0.0137905	0.001235333	103.8769	0.412585	0.747828	1.0837	1.75589	0.193715	0.147602	0.18322	0.090404	0.303871	0.0811886	0.01527213	0.08088809
33	0	-250.7399	-236.4794	-14.26044	6.085725	0.2222839	0.02914603	0.060328	0.0383067	0.0461825	0.206538	0.0108305	0.000206953	0.0270963	0.00249475	0.380844	0.02228	0.0255171	0.00974013	0.161716	0.00391324	0.0040056	0.03595292	61.26246	0.541751	0.826066	1.08107	1.55112	0.190708	0.0679945	0.207642	0.08333	0.392803	0.057523	0.06509895	0.552281
34	0	-243.8097	-230.6157	-13.194	2.882117	0.06330018	0.02324058	0.0212817	0.140973	0.0621102	0.207865	0.0685616	0.00403126	0.0344453	0.00918669	0.0957553	0.165121	0.0443014	0.0108962	0.108987	0.0164877	0.00999594	0.002685433	139.0018	0.379932	0.724785	1.08187	1.81342	0.124313	0.107785	0.266528	0.0442703	0.336447	0.120657	0.02592602	0.1035806
35	0	-244.7155	-235.1118	-9.603728	1.503831	0.1634473	0.005009867	0.0102924	0.00616949	0.0704877	0.225469	0.0699287	0.003082	0.0066367	0.00265276	0.145162	0.0371639	0.0258469	0.0128115	0.228694	0.102998	0.0526043	0.03230071	77.11989	0.225914	0.589193	1.05065	2.13425	0.1474	0.0917114	0.231207	0.110877	0.295059	0.123746	0.03731058	0.8657253
36	0	-250.6946	-238.0812	-12.61339	4.924542	0.3554566	0.01410161	0.000642098	0.0280934	0.118413	0.13203	0.0686177	0.000192494	0.0492432	0.00821578	0.241889	0.0822833	0.0139993	0.00658747	0.147258	0.0585141	0.0440217	0.1078144	47.25846	0.498913	0.80213	1.08343	1.61553	0.177298	0.0695531	0.217001	0.0389156	0.421794	0.0754378	0.121916	0.8843334
37	0	-239.7729	-234.3831	-5.389845	2.018154	0.5394688	0.118312	0.0746696	0.0391539	0.0573312	0.201267	0.0344794	0.00555313	0.00418133	0.0191609	0.156166	0.00478226	0.00928682	0.0625345	0.190613	0.093014	0.0478079	0.0775995	13.99387	0.295432	0.65693	1.07044	1.9772	0.159941	0.104165	0.308133	0.0422743	0.270726	0.114761	0.1959115	0.3960947
38	0	-241.3695	-235.9646	-5.404968	2.055728	0.4176217	0.07025022	0.0199597	0.0829857	0.0873453	0.0621947	0.010773	0.00864044	0.00854753	0.00210233	0.174718	0.186256	0.108829	0.00889715	0.037962	0.135613	0.0651759	0.03646641	22.47025	0.299837	0.660812	1.07132	1.96803	0.133551	0.185458	0.22721	0.0479216	0.274807	0.131053	0.1067166	0.3417125
39	0	-250.9197	-237.0418	-13.87795	4.368834	0.04400172	-0.02052906	0.019263	0.0446344	0.0135473	0.186831	0.0881098	0.0145224	0.0211232	0.0116614	0.0991518	0.0861781	0.0750769	0.00306144	0.200419	0.100068	0.0363531	0.07493428	84.97117	0.473544	0.78707	1.08418	1.6552	0.139632	0.266645	0.195164	0.0954168	0.233373	0.0697688	0.05440522	1.377336
40	0	-247.0508	-237.9077	-9.143135	3.96259	0.2559992	0.06879152	0.0713874	0.0964883	0.142868	0.12611	0.074908	0.000501382	0.0150163	0.000917191	0.115943	0.0128432	0.117129	0.0389542	0.118546	0.0555236	0.0128639	0.02310386	42.9988	0.452295	0.773905	1.08441	1.68939	0.122067	0.130074	0.16481	0.0502393	0.400714	0.132096	0.09189538	0.2514148
41	0	-248.7068	-235.2555	-13.4513	2.057597	0.08177644	0.008129219	0.0707912	0.117788	0.0399885	0.274816	0.08518	0.00245179	0.0402263	0.0152036	0.154524	0.0176159	0.0058626	0.0441944	0.118188	0.00592247	0.00724747	0.02200723	152.8246	0.300055	0.661002	1.07137	1.96758	0.17501	0.109315	0.233778	0.0745696	0.28049	0.126837	0.03013645	0.730253
42	0	-232.179	-228.7169	-3.462043	3.854474	0.3507125	0.08426849	0.0178869	0.00384751	0.0497079	0.15915	0.157979	0.000102398	0.000303158	0.000622309	0.148634	0.0945147	0.0628505	0.025401	0.224343	0.0274538	0.0272045	0.004363638	20.00715	0.446185	0.770021	1.08439	1.6994	0.104726	0.196318	0.217233	0.0690874	0.316233	0.0964024	0.08863213	0.04923314
43	0	-249.5564	-239.6081	-9.948321	1.1091	0.08217092	0.004930685	0.0711995	0.0108582	0.0632751	0.151769	0.0105324	0.00537529	0.00443175	0.00192387	0.253551	0.18725	0.0293899	0.0194215	0.112998	0.0658945	0.0121301	0.0148656	109.2935	0.158194	0.507256	1.01596	2.31859	0.121993	0.211525	0.196852	0.0915182	0.30291	0.0752018	0.01979629	0.7509288
44	0	-244.5342	-237.7368	-6.797359	3.793284	0.2847246	0.09634819	0.12854	0.0653129	0.175606	0.141284	0.00266003	0.00521483	0.0655303	0.0106833	0.24238	0.0268871	0.0582804	0.00610776	0.0498012	0.00136379	0.0203488	0.003042235	33.99035	0.442633	0.767743	1.08437	1.70525	0.164284	0.19577	0.171053	0.112909	0.268006	0.0879782	0.09939043	0.03060893
