"lek","gaps","convg","cost.type","Y.cost.vals.1."
"file5adc7a569ecbsong.seq_LK7_SongsSeq.fa",33,"N","increasing","1.2_1.5_1.8"
"file5adc7f779c72song.seq_LK8_SongsSeq.fa",21,"N","increasing","1.2_1.5_1.8"
"file5adc8903dacsong.seq_LK9_SongsSeq.fa",40,"N","increasing","1.2_1.5_1.8"
"file5adc53e63a7bsong.seq_LK10_SongsSeq.fa",29,"Y","increasing","1.2_1.5_1.8"
"file5adc4048289bsong.seq_LK11_SongsSeq.fa",21,"Y","increasing","1.2_1.5_1.8"
"file5adc4f463bbesong.seq_LK1_SongsSeq.fa",29,"Y","increasing","1.2_1.5_1.8"
"file5adc4715fae7song.seq_LK2_SongsSeq.fa",36,"Y","increasing","1.2_1.5_1.8"
"file5adc77aa3eeesong.seq_LK3_SongsSeq.fa",35,"Y","increasing","1.2_1.5_1.8"
"file5adc4252d99song.seq_LK4_SongsSeq.fa",35,"N","increasing","1.2_1.5_1.8"
"file5adc11aefed2song.seq_LK5_SongsSeq.fa",28,"Y","increasing","1.2_1.5_1.8"
"file5adc67c2afdesong.seq_LK6_SongsSeq.fa",18,"Y","increasing","1.2_1.5_1.8"
"file5adc3ed922d5song.seq_LK7_SongsSeq.fa",26,"Y","increasing","1.2_1.5_1.8"
"file5adc6ba6cceesong.seq_LK8_SongsSeq.fa",31,"Y","increasing","1.2_1.5_1.8"
"file5adc6c2f7854song.seq_LK9_SongsSeq.fa",37,"Y","increasing","1.2_1.5_1.8"
"file5adc5d6bf916song.seq_LK10_SongsSeq.fa",34,"Y","increasing","1.2_1.5_1.8"
"file5adc4042deaasong.seq_LK11_SongsSeq.fa",21,"Y","increasing","1.2_1.5_1.8"
"file5adc2607dfadsong.seq_LK1_SongsSeq.fa",31,"Y","increasing","1.2_1.5_1.8"
"file5adc517ab76asong.seq_LK2_SongsSeq.fa",39,"Y","increasing","1.2_1.5_1.8"
"file5adc669b8cb9song.seq_LK3_SongsSeq.fa",33,"Y","increasing","1.2_1.5_1.8"
"file5adc420367b1song.seq_LK4_SongsSeq.fa",40,"Y","increasing","1.2_1.5_1.8"
"file5adc6eaf3f4fsong.seq_LK5_SongsSeq.fa",21,"Y","increasing","1.2_1.5_1.8"
"file5adc65b6de2fsong.seq_LK6_SongsSeq.fa",26,"Y","increasing","1.2_1.5_1.8"
"file5adc6d393318song.seq_LK7_SongsSeq.fa",39,"Y","increasing","1.2_1.5_1.8"
"file5adc2c2a9410song.seq_LK8_SongsSeq.fa",30,"Y","increasing","1.2_1.5_1.8"
"file5adc605fd7aesong.seq_LK9_SongsSeq.fa",34,"Y","increasing","1.2_1.5_1.8"
"file5adc142ad762song.seq_LK10_SongsSeq.fa",34,"N","increasing","1.2_1.5_1.8"
"file5adc311e09a4song.seq_LK11_SongsSeq.fa",23,"Y","increasing","1.2_1.5_1.8"
"file5adc6687a4a8song.seq_LK1_SongsSeq.fa",24,"Y","increasing","1.2_1.5_1.8"
"file5adc1a60b678song.seq_LK2_SongsSeq.fa",40,"Y","increasing","1.2_1.5_1.8"
"file5adc3abe9c4esong.seq_LK3_SongsSeq.fa",38,"Y","increasing","1.2_1.5_1.8"
"file5adc41bb789song.seq_LK4_SongsSeq.fa",39,"Y","increasing","1.2_1.5_1.8"
"file5adc14b75543song.seq_LK5_SongsSeq.fa",32,"Y","increasing","1.2_1.5_1.8"
"file5adc3a3638c0song.seq_LK6_SongsSeq.fa",32,"N","increasing","1.2_1.5_1.8"
"file5adccabf535song.seq_LK7_SongsSeq.fa",28,"Y","increasing","1.2_1.5_1.8"
"file5adc689d8fbesong.seq_LK8_SongsSeq.fa",33,"Y","increasing","1.2_1.5_1.8"
"file5adc7a7e615csong.seq_LK9_SongsSeq.fa",34,"Y","increasing","1.2_1.5_1.8"
"file5adc5bf230f3song.seq_LK10_SongsSeq.fa",21,"Y","increasing","1.2_1.5_1.8"
"file5adc2fb38aa5song.seq_LK11_SongsSeq.fa",28,"Y","increasing","1.2_1.5_1.8"
"file5adc7228a04asong.seq_LK1_SongsSeq.fa",34,"Y","increasing","1.2_1.5_1.8"
"file5adc60175e8csong.seq_LK2_SongsSeq.fa",28,"N","increasing","1.2_1.5_1.8"
"file5adc41628977song.seq_LK3_SongsSeq.fa",40,"Y","increasing","1.2_1.5_1.8"
"file5adc59eb5028song.seq_LK4_SongsSeq.fa",26,"Y","increasing","1.2_1.5_1.8"
"file5adc1ef08161song.seq_LK5_SongsSeq.fa",25,"Y","increasing","1.2_1.5_1.8"
"file5adc2d095665song.seq_LK6_SongsSeq.fa",24,"Y","increasing","1.2_1.5_1.8"
"file5adc461ac87csong.seq_LK7_SongsSeq.fa",22,"Y","increasing","1.2_1.5_1.8"
"file5adc7c5c7a77song.seq_LK8_SongsSeq.fa",35,"N","increasing","1.2_1.5_1.8"
"file5adc6d4c350fsong.seq_LK9_SongsSeq.fa",40,"Y","increasing","1.2_1.5_1.8"
"file5adc6c22a829song.seq_LK10_SongsSeq.fa",32,"Y","increasing","1.2_1.5_1.8"
"file5adc4dd731e1song.seq_LK11_SongsSeq.fa",25,"Y","increasing","1.2_1.5_1.8"
"file5adc53e7c1c9song.seq_LK1_SongsSeq.fa",33,"Y","increasing","1.2_1.5_1.8"
"file5adc2e260fdbsong.seq_LK2_SongsSeq.fa",24,"Y","increasing","1.2_1.5_1.8"
"file5adc3c867131song.seq_LK3_SongsSeq.fa",40,"N","increasing","1.2_1.5_1.8"
"file5adc399e9ff8song.seq_LK4_SongsSeq.fa",31,"Y","increasing","1.2_1.5_1.8"
"file5adc1b5f42f3song.seq_LK5_SongsSeq.fa",27,"Y","increasing","1.2_1.5_1.8"
"file5adc68b10541song.seq_LK6_SongsSeq.fa",20,"Y","increasing","1.2_1.5_1.8"
"file5adc19fe77a6song.seq_LK7_SongsSeq.fa",40,"N","increasing","1.2_1.5_1.8"
"file5adc2f8a1a55song.seq_LK8_SongsSeq.fa",33,"Y","increasing","1.2_1.5_1.8"
