Iteration	Posterior	Likelihood	Prior	alpha_song	branch_rates[1]	branch_rates[2]	branch_rates[3]	branch_rates[4]	branch_rates[5]	branch_rates[6]	branch_rates[7]	branch_rates[8]	branch_rates_mean	diversification	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	er[7]	er[8]	er[9]	er[10]	er[11]	er[12]	er[13]	er[14]	er[15]	extinction_rate	origin_time	rates_song[1]	rates_song[2]	rates_song[3]	rates_song[4]	sf[1]	sf[2]	sf[3]	sf[4]	sf[5]	sf[6]	speciation_rate	turnover
4200	-58.69861	-84.87996	26.18135	1.362984	0.0846341	0.00366788	0.0133142	0.0375606	0.14364	0.0291624	0.0718133	0.0954622	0.0551248	0.01623345	0.0752616	0.101983	0.0685879	0.0672966	0.0102299	0.0382374	0.0277736	0.01807	0.0421154	0.0460377	0.0769831	0.0659458	0.0604656	0.283826	0.0171864	0.01192503	43.54605	0.203359	0.564039	1.04125	2.19135	0.0240269	0.509096	0.0192992	0.11811	0.292492	0.0369753	0.02815848	0.423497
4300	-60.9163	-82.49385	21.57755	5.263045	0.00389086	0.00990851	0.0108664	0.0825832	0.216384	0.0577602	4.68755e-06	0.00511341	0.04141216	0.01058726	0.0260068	0.137029	0.10267	0.0843147	0.0902827	0.0183278	0.054383	0.0116408	0.0485038	0.0838653	0.0776753	0.00567726	0.00634072	0.0988895	0.154393	0.01882803	104.2786	0.512649	0.810002	1.08282	1.59453	0.0220204	0.403492	0.00522519	0.135209	0.322032	0.112022	0.02941528	0.6400763
4400	-71.74606	-82.22957	10.48351	1.028229	0.268419	0.247793	0.176831	0.573529	0.738852	0.16579	1.51364	0.0535336	0.3784055	0.1128694	0.0774604	0.131074	0.0616244	0.0328992	0.0446574	0.00920766	0.0574098	0.0408583	0.147697	0.028374	0.0636859	0.0323408	0.0410155	0.199293	0.0324017	0.01875011	10.18005	0.142552	0.485075	1.00452	2.36785	0.0199192	0.378417	0.00515066	0.18518	0.340272	0.0710615	0.1316195	0.142457
4500	-66.95264	-87.095	20.14236	2.703707	0.0425836	0.139123	0.142367	0.286114	0.0714394	0.242568	0.141502	0.0018852	0.1003876	0.1854544	0.0156068	0.019327	0.0498032	0.0411095	0.0646072	0.0608662	0.052496	0.0237398	0.141385	0.159005	0.027785	0.139899	0.00211954	0.0769662	0.125284	0.008113232	11.2872	0.364957	0.713681	1.0806	1.84076	0.0191966	0.362739	0.0210754	0.0578454	0.467886	0.0712572	0.1935677	0.04191419
4600	-60.51793	-83.78745	23.26952	1.805505	0.0122531	0.00061726	0.0618741	0.0903116	0.212851	0.205713	0.105264	0.101906	0.06660019	0.05046581	0.26913	0.0786433	0.0121421	0.0544529	0.00797751	0.023328	0.0196224	0.0345544	0.0920249	0.00784864	0.143253	0.0244326	0.0305422	0.165635	0.0364133	0.008662208	19.38226	0.268898	0.632598	1.06426	2.03424	0.0504249	0.482727	0.0299478	0.101618	0.263505	0.0717771	0.05912802	0.1464992
4700	-64.13562	-88.74042	24.60479	1.929306	0.0317527	0.0130757	0.00121937	0.032551	0.052307	0.114045	0.0984546	0.018002	0.1261963	0.04904103	0.144272	0.0354042	0.0117845	0.154601	0.0375394	0.209732	0.0868796	0.0117006	0.102484	0.0113697	0.0023349	0.0886989	0.0026297	0.0958249	0.00474325	0.004587611	26.30303	0.284687	0.647279	1.06812	1.99992	0.035449	0.481442	0.0168602	0.125238	0.267104	0.073907	0.05362864	0.08554405
4800	-82.97827	-87.7353	4.757036	1.238206	0.0987095	0.054215	1.35826	0.445597	0.66431	1.68869	0.323791	0.00470673	0.4502777	-0.002813999	0.0718036	0.0389234	0.20534	0.134497	0.0714171	0.00624332	0.00636048	0.0117801	0.0990091	0.0983701	0.113705	0.00977716	0.0532299	0.0511558	0.0283878	0.1673518	8.877359	0.181908	0.538263	1.03047	2.24935	0.0306391	0.509094	0.0502576	0.0841099	0.294173	0.0317263	0.1645378	1.017102
4900	-70.22492	-87.2587	17.03378	0.9678053	0.271873	0.00756059	0.182607	0.2437	0.05201	0.108909	0.528768	0.0642715	0.152548	-0.01267842	0.0694943	0.0446904	0.190915	0.185276	0.0027764	0.0297372	0.0465019	0.0825671	0.0602029	0.0747033	0.0769773	0.0313973	0.0106566	0.0774497	0.0166546	0.06399679	15.96044	0.130486	0.466856	0.994454	2.4082	0.0244506	0.395458	0.00477059	0.137819	0.403033	0.0344693	0.05131837	1.247054
5000	-62.26838	-86.80725	24.53887	1.425734	0.00424045	0.00687456	0.0863414	0.00653747	0.124336	0.257054	0.075795	0.0387658	0.04994076	0.07671344	0.238175	0.0807419	0.00154294	0.0117526	0.243378	0.0341621	0.00106054	0.0904124	0.0429821	0.0200043	0.0395094	0.00106006	0.0186619	0.176387	0.000170104	0.01603896	14.06591	0.213619	0.575709	1.04575	2.16493	0.0523699	0.467199	0.0421509	0.142537	0.243267	0.0524759	0.09275241	0.1729224
5100	-53.87048	-86.7267	32.85622	0.8596495	0.00221879	0.0117294	0.00810653	0.0351413	0.000752666	0.0329496	0.00243487	0.0256989	0.01162269	0.007883672	0.0686003	0.0656403	0.0294126	0.0118131	0.27849	0.0272414	0.0138465	0.0129061	0.141969	0.0380753	0.104724	0.0180169	0.00455432	0.0802731	0.104437	0.001341954	225.2125	0.108174	0.430085	0.972205	2.48954	0.059054	0.34129	0.00192482	0.258767	0.269053	0.0699118	0.009225625	0.1454594
