Iteration	Replicate_ID	Posterior	Likelihood	Prior	age_extant	alpha_song	branch_rates[1]	branch_rates[2]	branch_rates[3]	branch_rates[4]	branch_rates[5]	branch_rates[6]	branch_rates[7]	branch_rates[8]	branch_rates[9]	branch_rates[10]	branch_rates_mean	diversification	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	er[7]	er[8]	er[9]	er[10]	er[11]	er[12]	er[13]	er[14]	er[15]	extinction_rate	num_samp_anc	origin_time	psi	rates_song[1]	rates_song[2]	rates_song[3]	rates_song[4]	sf[1]	sf[2]	sf[3]	sf[4]	sf[5]	sf[6]	speciation_rate	turnover
31	0	-145.3101	-129.9921	-15.318	5.532384	2.605267	0.432959	0.842638	0.189732	0.00538882	0.479201	0.895263	0.277995	0.247594	0.965788	0.25213	0.3514251	-0.09230168	0.123408	0.0474342	0.171682	0.0544506	0.0184299	0.00195231	0.0203711	0.0393151	0.17456	0.041868	0.00752235	0.0860149	0.104975	0.0268786	0.0811374	0.3390253	0	8.245075	0.2011867	0.356215	0.707031	1.07973	1.85703	0.0552913	0.196065	0.106466	0.592608	0.0178965	0.0316731	0.2467236	1.37411
32	0	-143.0495	-124.277	-18.77248	5.931954	3.93963	0.339227	0.111125	0.347987	0.83006	0.269743	0.208967	1.80934	0.34072	0.0896435	0.030862	0.3684332	-0.1759029	0.0381493	0.0165203	0.060353	0.163412	0.0253018	0.0850492	0.00448655	0.0055073	0.0612899	0.267866	0.0682352	0.101339	0.0872399	0.00327558	0.0119759	0.5591232	0	8.105444	0.1443282	0.451015	0.773095	1.08441	1.69148	0.0866406	0.191011	0.0243706	0.616912	0.0204831	0.060582	0.3832202	1.459013
33	0	-154.1322	-136.2823	-17.84992	8.244392	3.327	0.661402	0.297322	0.388218	0.0363474	0.147052	0.0149911	0.47238	0.0254766	0.0896679	0.935228	0.358387	-0.06604281	0.119238	0.100302	0.110462	0.0931237	0.00874415	0.111893	0.0190336	0.136059	0.057561	0.108842	0.0299013	0.0436234	0.0149818	0.00991115	0.0363233	0.3832731	0	9.402952	0.2472078	0.413077	0.748164	1.08371	1.75504	0.0936277	0.245067	0.0363616	0.484326	0.0571128	0.0835051	0.3172303	1.208186
34	0	-146.7875	-129.979	-16.80852	7.940704	2.875626	0.078945	0.225205	0.418763	0.154465	0.26325	0.296148	0.471048	0.816119	0.0813503	0.477965	0.2717854	-0.1097252	0.122021	0.0774135	0.130462	0.0372566	0.00447855	0.0885617	0.0194224	0.0552716	0.108724	0.147648	0.0348557	0.0705945	0.0521211	0.0209907	0.0301783	0.2003671	0	11.88913	0.127876	0.379405	0.724401	1.08183	1.81437	0.127424	0.144387	0.0886436	0.539852	0.0450126	0.0546811	0.09064192	2.210535
35	0	-149.9751	-128.6707	-21.30437	9.852022	1.57582	0.257993	0.09056	1.09252	0.043136	0.040933	0.234234	2.05352	0.968709	0.0381706	0.502403	0.5168089	0.07886354	0.0159086	0.0561463	0.0911122	0.0394033	0.13436	0.0428522	0.0037094	0.126539	0.0467958	0.235244	0.0121759	0.0542049	0.0823991	0.0261946	0.0329549	0.1863864	0	9.950871	0.1646806	0.236801	0.600709	1.05458	2.10791	0.140812	0.150579	0.057756	0.574468	0.0211174	0.0552675	0.2652499	0.7026821
36	0	-156.6797	-131.0419	-25.63773	6.702688	3.769954	0.344791	0.364059	0.783204	0.953455	1.27332	0.162759	0.933345	0.656184	1.9541	0.420102	0.7071947	-0.0841856	0.00738563	0.0616628	0.0273352	0.064281	0.0452482	0.0598447	0.0047516	0.0378715	0.0654503	0.214206	0.122666	0.0499029	0.145647	0.0687511	0.0249958	0.3033437	0	8.457944	0.1301018	0.44126	0.766858	1.08436	1.70752	0.0622282	0.213258	0.051962	0.560192	0.0350496	0.07731	0.2191581	1.384132
37	0	-153.6094	-134.2761	-19.33335	7.705882	2.544529	0.219502	0.545781	1.13911	0.579034	0.232464	0.308502	0.191539	0.207435	0.560526	0.994709	0.4270955	-0.1414803	0.0133278	0.0671729	0.0281388	0.061693	0.165432	0.0432596	0.0157807	0.0290025	0.0598097	0.191047	0.11677	0.0447546	0.052267	0.0114436	0.100101	0.2782175	0	9.198763	0.3328403	0.350638	0.702721	1.07912	1.86752	0.0508536	0.214504	0.0677238	0.574077	0.0235875	0.0692533	0.1367372	2.034688
38	0	-150.2701	-135.4417	-14.82838	8.718821	1.33366	0.165088	0.204581	0.68906	0.124778	0.204884	0.361986	0.0734946	0.00657536	0.293551	0.737719	0.2556737	-0.02056968	0.000841832	0.177544	0.0190061	0.0640562	0.0270412	0.0105305	0.0189563	0.0538182	0.0324874	0.167075	0.189009	0.0500497	0.0181277	0.0337795	0.137678	0.3970852	0	9.406669	0.1976001	0.198445	0.558305	1.03895	2.2043	0.0920854	0.12511	0.0380993	0.585584	0.0359164	0.123205	0.3765155	1.054632
39	0	-152.3864	-138.1685	-14.2179	4.3695	1.132931	0.0630546	0.875819	0.295395	0.310896	0.342592	1.37731	0.455127	0.472336	0.645694	0.048677	0.4070762	0.001374553	0.104772	0.012895	0.0827085	0.221736	0.000340809	0.0814099	0.0947157	0.00627799	0.00424802	0.269976	0.00158576	0.025263	0.032907	0.00745377	0.0537106	0.4056077	0	8.136466	0.2047805	0.162688	0.51336	1.01895	2.305	0.115485	0.132025	0.0175812	0.543002	0.021919	0.169988	0.4069822	0.9966226
40	0	-149.0969	-132.9376	-16.1593	4.195846	2.044438	0.305324	0.156038	0.32376	0.107534	0.407965	1.11306	0.462942	0.0500012	1.15516	0.316073	0.2128262	0.01718456	0.110855	0.0746276	0.183704	0.0629167	0.138942	0.0653264	0.0110956	0.0162261	0.00170525	0.0791335	0.0150235	0.0770806	0.0312105	0.0338815	0.0982706	0.1833343	0	8.296428	0.2393869	0.298522	0.659657	1.07106	1.97076	0.0401237	0.156029	0.0693651	0.637779	0.037154	0.0595498	0.2005189	0.9142995
41	0	-150.0878	-128.8545	-21.23325	5.923957	3.520364	0.74128	0.0406996	1.14528	0.257516	0.675576	0.193791	1.506	0.20687	0.490715	0.60002	0.5762828	-0.0006599264	0.0068234	0.000132614	0.0721455	0.148544	0.214707	0.0957066	0.00693668	0.163645	0.0128009	0.140276	0.0684291	0.0359846	0.0159774	0.00302163	0.0148689	0.2067335	0	7.664971	0.1830415	0.425901	0.756798	1.08411	1.73319	0.091902	0.187516	0.0412311	0.611288	0.0312846	0.0367783	0.2060736	1.003202
42	0	-157.23	-133.2343	-23.99574	5.37212	2.435991	0.69794	0.267842	0.631382	0.344032	0.788022	2.38947	0.281012	1.41915	0.0354532	0.391566	0.4989787	-0.1584847	0.0409478	0.0452238	0.146866	0.00385329	0.0102202	0.0122965	0.00859347	0.00603818	0.126051	0.0355509	0.0275198	0.00415249	0.369159	0.111659	0.0518682	0.3292671	0	9.964925	0.2570671	0.340303	0.694591	1.07786	1.88724	0.048333	0.209417	0.0700135	0.532101	0.0293617	0.110774	0.1707824	1.927992
43	0	-145.4648	-131.2931	-14.17167	5.322248	3.002945	0.230891	0.745556	0.146939	0.124	0.383592	0.89643	0.198682	1.20807	0.360985	0.0261948	0.4143606	-0.04438515	0.070177	0.000605124	0.141054	0.0729744	0.0287076	0.0758018	0.0177863	0.106199	0.12858	0.0782656	0.0526552	0.00270259	0.150865	0.0500517	0.0235742	0.4630533	0	7.260517	0.1912011	0.38949	0.731691	1.08253	1.79629	0.073081	0.161161	0.102506	0.564379	0.0227053	0.0761676	0.4186682	1.106015
44	0	-149.8127	-126.4246	-23.38813	7.679537	2.45216	1.03685	0.0367738	0.174191	0.656319	0.492118	0.448636	0.192632	1.53156	0.825526	0.152748	0.4257252	-0.1106634	0.00961353	0.0659244	0.0908626	0.125882	0.0354951	0.115413	0.00131779	0.0281614	0.0969904	0.202391	0.0379605	0.0622885	0.104553	0.00531067	0.0178359	0.4609436	0	9.7491	0.2247706	0.341874	0.695839	1.07806	1.88422	0.0726132	0.194502	0.032521	0.606764	0.0412981	0.0523024	0.3502802	1.315928
45	0	-143.3276	-130.7999	-12.52769	6.976281	2.76403	0.842557	0.879683	0.157527	0.128181	0.000481376	0.137955	0.725945	0.0535312	0.534648	0.0268797	0.241583	-0.00201136	0.00834076	0.114892	0.139794	0.0234015	0.110343	0.054922	0.022659	0.0593224	0.107453	0.0811545	0.0684143	0.00150082	0.156848	0.0240728	0.0268821	0.2655202	0	11.66684	0.138406	0.370141	0.717565	1.08107	1.83122	0.0822498	0.17217	0.0941226	0.574158	0.0284142	0.0488846	0.2635088	1.007633
46	0	-156.9485	-135.2339	-21.71461	5.13963	2.497361	2.64238	0.25864	0.289633	0.284596	0.257237	0.15498	1.32585	0.557777	0.443101	1.23996	0.4300508	-0.00705738	0.0964447	0.0356706	0.125024	0.0353268	0.00161303	0.225402	0.00693896	0.0724368	0.0508373	0.190984	0.0194391	0.0193591	0.0751648	0.0415275	0.00383223	0.2384582	0	5.886694	0.2868866	0.346206	0.699258	1.0786	1.87594	0.0814706	0.220044	0.0565053	0.54698	0.0065975	0.0884022	0.2314008	1.030499
47	0	-153.8744	-131.2458	-22.62855	8.28716	2.111277	0.264226	0.131918	0.153997	0.51858	0.608781	0.367962	0.650193	0.324547	0.697022	0.0553614	0.6371055	0.1619169	0.0539357	0.0513019	0.147142	0.0123457	0.124153	0.0659812	0.046304	0.0571626	0.112341	0.247523	0.014292	0.00388272	0.0320276	0.00547295	0.0261344	0.27551	0	15.1433	0.08041747	0.306206	0.666348	1.07254	1.95491	0.0608712	0.132131	0.0342517	0.668634	0.0329803	0.0711315	0.4374269	0.6298424
