"lek","song.type","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20"
"SUR","SUR-H1","u","u","f","d","d","u","u","f","d","d","u","u","f","d","u","u","u","f","d","d"
"SUR","SUR-H2","u","u","p","d","f","u","u","f","d","f","u","u","f","d","f","u","u","f","d","f"
"SUR","SUR-H3","u","u","u","u","f","f","d","p","p","s","u","u","u","u","f","f","f","p","p","m"
"SUR","SUR-I1","p","f","f","p","p","p","f","f","p","p","p","p","f","p","p","p","f","f","p","p"
"SUR","SUR-J1","p","m","m","m","m","p","m","m","m","m","p","m","m","m","m","p","m","m","m","m"
"SUR","SUR-J2","p","m","m","m","m","p","m","m","m","m","p","m","m","m","m","p","m","m","m","m"
"SUR","SUR-J3","p","f","f","f","f","f","f","f","f","f","p","f","f","f","f","f","f","f","f","f"
"SUR","SUR-J4","p","s","s","s","s","s","s","p","s","s","s","s","s","p","s","s","s","s","s","s"
"SUR","SUR-J5","p","p","s","s","s","s","s","s","s","s","p","f","s","s","s","s","s","s","s","s"
"SUR","SUR-J6","p","p","s","s","m","m","m","m","m","m","p","s","s","s","m","m","m","m","m","m"
"SUR","SUR-J7","p","p","s","s","s","s","s","s","s","s","p","p","s","s","s","s","s","s","s","s"
"SUR","SUR-K1","p","f","f","f","f","p","f","f","f","f","u","f","f","f","f","u","f","f","f","f"
"SUR","SUR-K2","p","s","f","f","f","p","f","f","f","f","p","s","f","f","f","p","f","f","f","f"
"SUR","SUR-K3","p","s","f","f","f","s","s","f","f","f","s","p","f","f","f","p","f","f","f","f"
"SUR","SUR-K4","p","s","p","p","p","p","s","p","p","p","p","s","p","p","p","p","s","p","p","p"
"SUR","SUR-K5","p","u","d","f","f","f","f","f","f","f","p","d","p","f","f","f","f","f","f","f"
"SUR","SUR-K6","u","f","f","f","f","f","f","f","f","f","u","s","f","f","f","f","f","f","f","f"
"SUR","SUR-L1","p","f","f","f","f","p","f","f","p","f","p","f","f","f","f","p","f","f","f","f"
"TR1","TR1-A1","p","m","m","p","p","p","m","m","p","p","p","m","m","p","p","p","m","m","p","p"
"TR1","TR1-C1","p","s","s","s","m","m","m","m","m","m","u","s","s","s","s","m","m","m","m","m"
"TR1","TR1-D1","s","s","s","s","s","s","m","s","s","s","s","s","s","s","s","s","s","s","s","s"
"TR1","TR1-D2","m","m","m","m","m","m","m","m","m","m","m","m","m","m","m","m","m","m","m","m"
"TR1","TR1-D3","d","p","s","s","s","d","s","s","s","s","d","d","s","s","s","d","s","s","s","s"
"TR1","TR1-D4","d","s","m","m","s","s","p","m","m","m","d","m","m","d","m","m","m","d","m","m"
"TR1","TR1-D5","u","s","u","s","p","m","p","m","p","m","p","m","d","s","d","s","u","s","d","s"
"TR1","TR1-E1","p","u","u","u","f","f","f","d","p","d","u","u","u","u","f","f","f","d","d","p"
"TR1","TR1-E2","u","s","m","p","u","f","d","u","m","m","p","u","m","p","u","m","d","u","m","m"
"TR1","TR1-E3","u","u","f","p","u","f","d","u","f","d","p","u","f","p","u","f","d","u","f","d"
